atom,orbital,r_bohr,R
Ar,1s,3.95535150634e-05,147.845583519
Ar,1s,3.9804950636e-05,147.845546166
Ar,1s,4.00579845456e-05,147.845508337
Ar,1s,4.03126269527e-05,147.845470026
Ar,1s,4.05688880821e-05,147.845431227
Ar,1s,4.08267782238e-05,147.845391933
Ar,1s,4.10863077332e-05,147.845352138
Ar,1s,4.13474870316e-05,147.845311836
Ar,1s,4.16103266063e-05,147.84527102
Ar,1s,4.18748370116e-05,147.845229684
Ar,1s,4.21410288685e-05,147.845187821
Ar,1s,4.24089128658e-05,147.845145425
Ar,1s,4.26784997603e-05,147.845102488
Ar,1s,4.29498003769e-05,147.845059004
Ar,1s,4.32228256096e-05,147.845014966
Ar,1s,4.34975864213e-05,147.844970367
Ar,1s,4.37740938451e-05,147.844925199
Ar,1s,4.40523589837e-05,147.844879456
Ar,1s,4.43323930107e-05,147.844833129
Ar,1s,4.46142071707e-05,147.844786213
Ar,1s,4.48978127797e-05,147.844738698
Ar,1s,4.51832212257e-05,147.844690577
Ar,1s,4.54704439689e-05,147.844641844
Ar,1s,4.57594925427e-05,147.844592489
Ar,1s,4.60503785535e-05,147.844542506
Ar,1s,4.63431136817e-05,147.844491885
Ar,1s,4.66377096817e-05,147.84444062
Ar,1s,4.6934178383e-05,147.844388701
Ar,1s,4.72325316898e-05,147.84433612
Ar,1s,4.75327815825e-05,147.84428287
Ar,1s,4.78349401172e-05,147.844228941
Ar,1s,4.8139019427e-05,147.844174324
Ar,1s,4.84450317219e-05,147.844119012
Ar,1s,4.87529892896e-05,147.844062995
Ar,1s,4.90629044958e-05,147.844006264
Ar,1s,4.93747897851e-05,147.84394881
Ar,1s,4.96886576808e-05,147.843890624
Ar,1s,5.00045207862e-05,147.843831697
Ar,1s,5.03223917845e-05,147.843772019
Ar,1s,5.06422834395e-05,147.84371158
Ar,1s,5.09642085962e-05,147.843650372
Ar,1s,5.12881801813e-05,147.843588383
Ar,1s,5.16142112036e-05,147.843525605
Ar,1s,5.19423147547e-05,147.843462027
Ar,1s,5.22725040093e-05,147.843397639
Ar,1s,5.26047922258e-05,147.84333243
Ar,1s,5.29391927471e-05,147.843266391
Ar,1s,5.32757190007e-05,147.84319951
Ar,1s,5.36143844997e-05,147.843131777
Ar,1s,5.39552028428e-05,147.843063182
Ar,1s,5.42981877153e-05,147.842993712
Ar,1s,5.46433528896e-05,147.842923357
Ar,1s,5.49907122255e-05,147.842852107
Ar,1s,5.53402796709e-05,147.842779948
Ar,1s,5.56920692625e-05,147.84270687
Ar,1s,5.6046095126e-05,147.842632862
Ar,1s,5.64023714771e-05,147.84255791
Ar,1s,5.67609126219e-05,147.842482004
Ar,1s,5.71217329572e-05,147.842405131
Ar,1s,5.74848469715e-05,147.842327278
Ar,1s,5.78502692454e-05,147.842248434
Ar,1s,5.82180144522e-05,147.842168586
Ar,1s,5.85880973582e-05,147.842087721
Ar,1s,5.89605328241e-05,147.842005825
Ar,1s,5.93353358045e-05,147.841922887
Ar,1s,5.97125213495e-05,147.841838892
Ar,1s,6.00921046046e-05,147.841753827
Ar,1s,6.04741008117e-05,147.841667679
Ar,1s,6.08585253096e-05,147.841580434
Ar,1s,6.12453935344e-05,147.841492078
Ar,1s,6.16347210207e-05,147.841402596
Ar,1s,6.20265234016e-05,147.841311975
Ar,1s,6.24208164096e-05,147.841220199
Ar,1s,6.28176158771e-05,147.841127255
Ar,1s,6.32169377375e-05,147.841033128
Ar,1s,6.36187980251e-05,147.840937801
Ar,1s,6.40232128764e-05,147.840841261
Ar,1s,6.44301985303e-05,147.840743491
Ar,1s,6.48397713289e-05,147.840644477
Ar,1s,6.52519477185e-05,147.840544201
Ar,1s,6.56667442495e-05,147.840442649
Ar,1s,6.60841775779e-05,147.840339804
Ar,1s,6.65042644654e-05,147.840235649
Ar,1s,6.69270217802e-05,147.840130168
Ar,1s,6.73524664977e-05,147.840023344
Ar,1s,6.77806157015e-05,147.83991516
Ar,1s,6.82114865835e-05,147.839805599
Ar,1s,6.86450964451e-05,147.839694643
Ar,1s,6.90814626973e-05,147.839582274
Ar,1s,6.95206028623e-05,147.839468475
Ar,1s,6.99625345734e-05,147.839353227
Ar,1s,7.04072755759e-05,147.839236512
Ar,1s,7.08548437281e-05,147.839118311
Ar,1s,7.13052570018e-05,147.838998606
Ar,1s,7.1758533483e-05,147.838877377
Ar,1s,7.22146913726e-05,147.838754604
Ar,1s,7.26737489873e-05,147.838630269
Ar,1s,7.31357247602e-05,147.838504352
Ar,1s,7.36006372415e-05,147.838376832
Ar,1s,7.40685050995e-05,147.838247689
Ar,1s,7.45393471211e-05,147.838116902
Ar,1s,7.50131822126e-05,147.83798445
Ar,1s,7.54900294003e-05,147.837850313
Ar,1s,7.59699078318e-05,147.837714469
Ar,1s,7.64528367763e-05,147.837576897
Ar,1s,7.69388356253e-05,147.837437573
Ar,1s,7.74279238937e-05,147.837296477
Ar,1s,7.79201212205e-05,147.837153586
Ar,1s,7.84154473696e-05,147.837008876
Ar,1s,7.89139222303e-05,147.836862325
Ar,1s,7.94155658185e-05,147.836713909
Ar,1s,7.99203982774e-05,147.836563605
Ar,1s,8.04284398781e-05,147.836411388
Ar,1s,8.09397110206e-05,147.836257236
Ar,1s,8.14542322346e-05,147.836101122
Ar,1s,8.19720241803e-05,147.835943022
Ar,1s,8.24931076493e-05,147.83578291
Ar,1s,8.30175035652e-05,147.835620763
Ar,1s,8.35452329848e-05,147.835456552
Ar,1s,8.40763170986e-05,147.835290253
Ar,1s,8.46107772319e-05,147.835121838
Ar,1s,8.51486348456e-05,147.834951282
Ar,1s,8.56899115368e-05,147.834778556
Ar,1s,8.62346290402e-05,147.834603634
Ar,1s,8.67828092285e-05,147.834426487
Ar,1s,8.73344741133e-05,147.834247087
Ar,1s,8.78896458464e-05,147.834065406
Ar,1s,8.84483467203e-05,147.833881414
Ar,1s,8.90105991692e-05,147.833695083
Ar,1s,8.95764257698e-05,147.833506383
Ar,1s,9.01458492426e-05,147.833315284
Ar,1s,9.07188924522e-05,147.833121755
Ar,1s,9.12955784088e-05,147.832925765
Ar,1s,9.18759302688e-05,147.832727284
Ar,1s,9.24599713357e-05,147.832526279
Ar,1s,9.30477250613e-05,147.832322719
Ar,1s,9.36392150463e-05,147.832116572
Ar,1s,9.42344650416e-05,147.831907805
Ar,1s,9.48334989489e-05,147.831696384
Ar,1s,9.54363408221e-05,147.831482275
Ar,1s,9.60430148678e-05,147.831265446
Ar,1s,9.66535454465e-05,147.831045861
Ar,1s,9.72679570735e-05,147.830823485
Ar,1s,9.78862744202e-05,147.830598284
Ar,1s,9.85085223145e-05,147.830370221
Ar,1s,9.91347257424e-05,147.83013926
Ar,1s,9.97649098485e-05,147.829905364
Ar,1s,0.000100399099937,147.829668497
Ar,1s,0.000101037321475,147.82942862
Ar,1s,0.000101679600087,147.829185696
Ar,1s,0.000102325961566,147.828939687
Ar,1s,0.000102976431864,147.828690552
Ar,1s,0.000103631037101,147.828438252
Ar,1s,0.000104289803563,147.828182748
Ar,1s,0.0001049527577,147.827924
Ar,1s,0.000105619926135,147.827661964
Ar,1s,0.000106291335656,147.827396602
Ar,1s,0.000106967013224,147.827127869
Ar,1s,0.000107646985969,147.826855724
Ar,1s,0.000108331281196,147.826580124
Ar,1s,0.000109019926381,147.826301025
Ar,1s,0.000109712949178,147.826018382
Ar,1s,0.000110410377413,147.825732151
Ar,1s,0.000111112239091,147.825442287
Ar,1s,0.000111818562396,147.825148743
Ar,1s,0.000112529375688,147.824851473
Ar,1s,0.00011324470751,147.82455043
Ar,1s,0.000113964586587,147.824245567
Ar,1s,0.000114689041823,147.823936835
Ar,1s,0.000115418102308,147.823624186
Ar,1s,0.000116151797319,147.823307569
Ar,1s,0.000116890156315,147.822986935
Ar,1s,0.000117633208944,147.822662233
Ar,1s,0.000118380985045,147.822333412
Ar,1s,0.000119133514642,147.82200042
Ar,1s,0.000119890827954,147.821663204
