atom,state,q,delta_Ha,tau_q_real,tau_q_imag,F_q_real,F_q_imag,dipole_from_tau_z,osc,source
Mg,78,0.0001,2.7488195295534963,0.0,7.450099381299408e-07,0.0,936.2070993921633,0.007450099381299408,0.004086356505436549,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,78,0.0002,2.7488195295534963,0.0,1.4900198762598816e-06,0.0,468.10354969608164,0.007450099381299408,0.004086356505436549,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,78,0.0005,2.7488195295534963,0.0,3.725049690649704e-06,0.0,187.24141987843268,0.007450099381299408,0.004086356505436549,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,78,0.001,2.7488195295534963,0.0,7.450099381299408e-06,0.0,93.62070993921634,0.007450099381299408,0.004086356505436549,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,96,0.0001,2.8641861729070257,-0.0,-3.490992267019775e-06,0.0,-4386.910263923241,-0.03490992267019775,0.007863556000484703,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,96,0.0002,2.8641861729070257,-0.0,-6.98198453403955e-06,0.0,-2193.4551319616203,-0.03490992267019775,0.007863556000484703,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,96,0.0005,2.8641861729070257,-0.0,-1.7454961335098873e-05,0.0,-877.3820527846481,-0.03490992267019775,0.007863556000484703,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,96,0.001,2.8641861729070257,-0.0,-3.4909922670197746e-05,0.0,-438.69102639232403,-0.03490992267019775,0.007863556000484703,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,97,0.0001,2.864186172907104,0.0,2.836140429635247e-07,0.0,356.3999175316436,0.0028361404296352467,0.007863556000506417,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,97,0.0002,2.864186172907104,0.0,5.672280859270494e-07,0.0,178.1999587658218,0.0028361404296352467,0.007863556000506417,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,97,0.0005,2.864186172907104,0.0,1.4180702148176233e-06,0.0,71.27998350632873,0.0028361404296352467,0.007863556000506417,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,97,0.001,2.864186172907104,0.0,2.8361404296352466e-06,0.0,35.63999175316437,0.0028361404296352467,0.007863556000506417,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,98,0.0001,2.8641861729071634,-0.0,-5.3772376237871805e-06,0.0,-6757.236086198577,-0.0537723762378718,0.007863556000519604,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,98,0.0002,2.8641861729071634,-0.0,-1.0754475247574361e-05,0.0,-3378.6180430992886,-0.0537723762378718,0.007863556000519604,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,98,0.0005,2.8641861729071634,-0.0,-2.68861881189359e-05,0.0,-1351.4472172397154,-0.0537723762378718,0.007863556000519604,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,98,0.001,2.8641861729071634,-0.0,-5.37723762378718e-05,0.0,-675.7236086198577,-0.0537723762378718,0.007863556000519604,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
