atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Sn,rpa_012,0.192387985067,0.006617109563,0.17877732436156255,0.0031573129906144384,0.004611732155214001,8.091270012854412e-06,1.6107760004220757,0.00282610158417492,False
Sn,rpa_046,0.35993930581,0.020327157114,0.1568982481537129,0.0027709156005630013,0.0066454856894999125,1.1659484391241413e-05,1.9092492395520404,0.0033497719726820648,False
Sn,rpa_047,0.359945544793,0.020325784926,0.15688221805108354,0.002770632499496055,0.006644243002064252,1.1657304099922424e-05,1.9090675538696793,0.0033494532057060183,False
Sn,rpa_027,0.329891989526,0.012184653009,0.11196173654159088,0.0019773103020581896,0.0031015035678901184,5.441578558559149e-06,1.3140645394838109,0.002305522230136394,False
Sn,rpa_028,0.329892773286,0.012182883729,0.11194494714907491,0.0019770137914840186,0.003100580822629583,5.439959604811449e-06,1.3138688135477625,0.0023051788295780384,False
Sn,rpa_045,0.359681789706,0.014057755065,0.10866234448481776,0.0019190410923629383,0.003185208427158924,5.588438479069962e-06,1.3218978463552045,0.0023192657431715846,False
Sn,rpa_023,0.321483900112,0.008026758579,0.07766435577772487,0.0013715983292645866,0.001454333406286069,2.551623529495466e-06,0.9015068007978333,0.001581690934811313,False
Sn,rpa_001,0.127161863265,0.000386174036,0.02388192363706605,0.00042176885692547247,5.439472142966575e-05,9.543537298969621e-08,0.1675050564063589,0.0002938871110218166,False
Sn,rpa_017,0.208883114544,0.000905814811,0.020760258111390706,0.000366638402592042,6.751963646702172e-05,1.1846299642679332e-07,0.19564038766302858,0.0003432504639740118,False
Sn,rpa_018,0.208905985559,0.000881731252,0.020203865425733335,0.0003568121796044103,6.395596867199303e-05,1.1221055214008635e-07,0.1904082298730996,0.0003340706590756915,False
Sn,rpa_099,0.587605821539,0.004330180281,0.012541047084911872,0.00022148228819567683,6.931304047662514e-05,1.2160951829654913e-07,0.18107382315374382,0.00031769347093159696,False
Sn,rpa_098,0.587605302719,0.004329939045,0.012540370563131687,0.000221470340422028,6.930550135713986e-05,1.215962909343864e-07,0.18106400785456903,0.0003176762500191052,False
Sn,rpa_097,0.581379535434,0.002706784243,0.008008186128733063,0.00014142929024025283,2.796335789333074e-05,4.9061626210276623e-08,0.11526061823130668,0.00020222440344971768,False
Sn,rpa_073,0.481264667268,0.001457870285,0.006294350560584375,0.00011116194329109839,1.4300364128755475e-05,2.5089945285976568e-08,0.0853080468680908,0.00014967270826831696,False
Sn,rpa_074,0.482874359393,0.001155816631,0.00495701974983796,8.754389241917019e-05,8.898907793934723e-06,1.561310660655209e-08,0.06725890632497103,0.0001180055461870961,False
Sn,rpa_075,0.482878442406,0.001154149586,0.0049497864868735895,8.74161487290602e-05,8.873031268721837e-06,1.5567706321920387e-08,0.06716095411171805,0.00011783368932743644,False
Sn,rpa_088,0.549409085174,0.000780475673,0.002585637854755248,4.5663889517290466e-05,2.7548153542800247e-06,4.833315144253544e-09,0.036579992908775644,6.417948608714656e-05,False
Sn,rpa_093,0.566916298255,0.000308230715,0.0009590428863865987,1.6937263014524677e-05,3.9107158609193765e-07,6.861339060742295e-10,0.013699121822536393,2.403506749189875e-05,False
Sn,rpa_092,0.566916255094,0.000308220965,0.0009590126958237093,1.6936729831377738e-05,3.910469349282761e-07,6.860906556827056e-10,0.013698690259194188,2.4034310315329968e-05,False
Sn,rpa_084,0.514480227585,0.000128560677,0.00048570298593737506,8.577801197980145e-06,9.102726598377437e-08,1.5970706077843728e-10,0.006729858009105496,1.1807515368879131e-05,False
Sn,rpa_083,0.513100502579,3.419546e-05,0.00012988636720654705,2.2938698515006903e-06,6.492184355743627e-09,1.1390517668325725e-11,0.0017981281130324493,3.154810294826156e-06,False
Sn,rpa_082,0.513079273237,3.3868059e-05,0.00012865342897387753,2.272095435128064e-06,6.3692524971090866e-09,1.1174834096965332e-11,0.0017810355837735855,3.124821504328052e-06,False
Sn,rpa_067,0.421434933048,3.67846e-06,2.0711186257724e-05,3.6577176471383947e-07,1.3558190878467638e-10,2.3787804579993175e-13,0.0002678501666527393,4.6994230116445216e-07,False
Sn,rpa_066,0.421406300649,2.575362e-06,1.450227826479764e-05,2.561187875613803e-07,6.647138930836865e-11,1.1662384998129126e-13,0.0001875479515153915,3.290523094133039e-07,False
Sn,rpa_015,0.200781479914,1.9765e-08,4.902860275981819e-07,8.658740416775746e-09,3.619794766290897e-14,6.350918886749132e-17,4.522572552661711e-06,7.934839761875126e-09,False
Sn,rpa_016,0.200782529394,3.322e-09,8.240390372613803e-08,1.4553015414063063e-09,1.0225457700594318e-15,1.7940534375351365e-18,7.601250595429317e-07,1.333637100616373e-09,False
Sn,rpa_064,0.41078710905,1.0373e-08,6.14710688862233e-08,1.0856153320032355e-09,1.164178567515328e-15,2.0425477490696706e-18,7.87474937379916e-07,1.3816223779372658e-09,False
Sn,rpa_019,0.209626094473,1.158e-09,2.6352260391226013e-08,4.653964610019685e-10,1.0917981469490741e-16,1.9155565217531865e-19,2.4881089295314513e-07,4.365379534774592e-10,False
Sn,rpa_080,0.512707014108,2.601e-09,9.894681846558625e-09,1.7474591726719674e-10,3.764733089473245e-17,6.605212733097699e-20,1.369464453051837e-07,2.4027212096696914e-10,False
Sn,rpa_068,0.422073445419,9.78e-10,5.48987929355255e-09,9.6954506240308e-11,9.540582345386027e-18,1.6738922651679458e-20,7.10381293314858e-08,1.246361814354876e-10,False
Sn,rpa_065,0.410788564459,8.44e-10,5.0015631458104936e-09,8.833055506362131e-11,7.707102254580914e-18,1.3522087419580298e-20,6.407259400850611e-08,1.1241517093760267e-10,False
Sn,rpa_081,0.512707447507,8.2e-10,3.1194253737145494e-09,5.50908919285672e-11,3.741795860705232e-18,6.564969435121519e-21,4.3174135376574735e-08,7.574888895237361e-11,False
Sn,rpa_086,0.514626755561,1.88e-10,7.098606888850387e-10,1.2536558439651424e-11,1.944911648126036e-19,3.412341559850022e-22,9.83667462892341e-09,1.7258415660854977e-11,False
