atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Sn,rpa_099,0.585441439596,0.037383200176,0.10907106560155536,0.0016435622882138609,0.005223526901691007,6.285587814646232e-06,1.9248722914917218,0.0023162422722918796,False
Sn,rpa_047,0.36059269955,0.011843104884,0.09108182326803277,0.001372487277349601,0.002243580334547956,2.6997508536711574e-06,1.3471240698315254,0.0016210247975191846,False
Sn,rpa_048,0.360603630317,0.011832907741,0.09099788306958959,0.001371222405278667,0.002239514797817302,2.694858701564901e-06,1.3458997015600318,0.0016195514875443763,False
Sn,rpa_101,0.591664119462,0.030852671569,0.08813376234389551,0.0013280637473185547,0.003446839939621103,4.147660293757584e-06,1.5604852017373747,0.0018777670630548287,False
Sn,rpa_100,0.591663213034,0.03085110753,0.08812956453738932,0.0013280004917114994,0.003446506321779913,4.147258843879599e-06,1.560410136666104,0.0018776767355603667,False
Sn,rpa_031,0.330459588819,0.006221858762,0.05697488168403658,0.0008585390304465296,0.0008045378591220742,9.68118564122295e-07,0.8116239653099496,0.0009766454356300075,False
Sn,rpa_032,0.330460734729,0.00622029493,0.056960166308684106,0.0008583172884487518,0.0008041251118512257,9.676218960156687e-07,0.8114155801760013,0.0009763946810951213,False
Sn,rpa_003,0.133060585355,0.000991477276,0.05599946857173598,0.0008438407949615751,0.00031295255696203776,3.765828750620891e-07,0.4837713474358943,0.0005821329809814238,False
Sn,rpa_090,0.55096188462,0.010041316271,0.03307863159089543,0.0004984529226763154,0.0004521451631520186,5.440764796366845e-07,0.5726143056458335,0.0006890397177612685,False
Sn,rpa_075,0.481742107358,0.006766160573,0.029155002563647447,0.0004393288216458579,0.00030711571477589494,3.695592711232723e-07,0.48225858544584516,0.0005803126403360957,False
Sn,rpa_049,0.360725370281,0.002902689142,0.022307307431192257,0.00033614276199917854,0.00013462702737820347,1.6199974054628453e-07,0.3299818873627776,0.0003970746526815024,False
Sn,rpa_076,0.483258027601,0.003846577525,0.016470862274605758,0.00024819495380927465,9.832705049523536e-05,1.1831915908059701e-07,0.27275009308661546,0.0003282063429201172,False
Sn,rpa_077,0.48326389092,0.003839472856,0.01644004148635265,0.00024773052371512963,9.796059806713396e-05,1.1787819860311272e-07,0.2722408795478869,0.0003275935947761287,False
Sn,rpa_019,0.209047157988,0.000609807449,0.013954175790629134,0.0002102716881520761,3.0529093615814874e-05,3.6736347382769034e-08,0.15839986124760658,0.0001906061280889151,False
Sn,rpa_020,0.209089045268,0.000576156339,0.013178858204950298,0.00019858863785653937,2.72363002775863e-05,3.277405484126464e-08,0.1496154212557357,0.00018003561318383828,False
Sn,rpa_094,0.567397090585,0.000525122449,0.0016311217382384375,2.457893082522802e-05,1.1321947045733742e-06,1.362395441396037e-09,0.028503613833638686,3.429904184624783e-05,False
Sn,rpa_095,0.567397148204,0.000525088939,0.0016310173190864925,2.4577357361364278e-05,1.1320498652671623e-06,1.3622211529898812e-09,0.02850179004459113,3.4296847239724394e-05,False
Sn,rpa_025,0.32276742779,9.8535674e-05,0.0009458321868920781,1.4252488547544696e-05,2.1656044879846274e-07,2.6059207576039743e-10,0.013333675882698116,1.604471312775242e-05,False
