atom,orbital,r_bohr,u
Ar,1s,6.16347210207e-05,0.00912743626605
Ar,1s,6.20265234016e-05,0.00918545052448
Ar,1s,6.24208164096e-05,0.00924383342808
Ar,1s,6.28176158771e-05,0.00930258731742
Ar,1s,6.32169377375e-05,0.00936171454809
Ar,1s,6.36187980251e-05,0.00942121749057
Ar,1s,6.40232128764e-05,0.00948109853019
Ar,1s,6.44301985303e-05,0.0095413600676
Ar,1s,6.48397713289e-05,0.00960200451846
Ar,1s,6.52519477185e-05,0.009663034314
Ar,1s,6.56667442495e-05,0.00972445190059
Ar,1s,6.60841775779e-05,0.00978625974023
Ar,1s,6.65042644654e-05,0.00984846031037
Ar,1s,6.69270217802e-05,0.00991105610431
Ar,1s,6.73524664977e-05,0.00997404963105
Ar,1s,6.77806157015e-05,0.0100374434155
Ar,1s,6.82114865835e-05,0.0101012399986
Ar,1s,6.86450964451e-05,0.0101654419372
Ar,1s,6.90814626973e-05,0.0102300518046
Ar,1s,6.95206028623e-05,0.0102950721901
Ar,1s,6.99625345734e-05,0.0103605056997
Ar,1s,7.04072755759e-05,0.0104263549556
Ar,1s,7.08548437281e-05,0.0104926225968
Ar,1s,7.13052570018e-05,0.0105593112789
Ar,1s,7.1758533483e-05,0.0106264236743
Ar,1s,7.22146913726e-05,0.0106939624724
Ar,1s,7.26737489873e-05,0.0107619303796
Ar,1s,7.31357247602e-05,0.0108303301193
Ar,1s,7.36006372415e-05,0.0108991644322
Ar,1s,7.40685050995e-05,0.0109684360764
Ar,1s,7.45393471211e-05,0.0110381478274
Ar,1s,7.50131822126e-05,0.0111083024783
Ar,1s,7.54900294003e-05,0.0111789028398
Ar,1s,7.59699078318e-05,0.0112499517404
Ar,1s,7.64528367763e-05,0.0113214520265
Ar,1s,7.69388356253e-05,0.0113934065624
Ar,1s,7.74279238937e-05,0.0114658182307
Ar,1s,7.79201212205e-05,0.0115386899322
Ar,1s,7.84154473696e-05,0.0116120245859
Ar,1s,7.89139222303e-05,0.0116858251292
Ar,1s,7.94155658185e-05,0.0117600945184
Ar,1s,7.99203982774e-05,0.0118348357282
Ar,1s,8.04284398781e-05,0.0119100517522
Ar,1s,8.09397110206e-05,0.0119857456029
Ar,1s,8.14542322346e-05,0.0120619203119
Ar,1s,8.19720241803e-05,0.0121385789299
Ar,1s,8.24931076493e-05,0.0122157245268
Ar,1s,8.30175035652e-05,0.012293360192
Ar,1s,8.35452329848e-05,0.0123714890345
Ar,1s,8.40763170986e-05,0.0124501141829
Ar,1s,8.46107772319e-05,0.0125292387853
Ar,1s,8.51486348456e-05,0.01260886601
Ar,1s,8.56899115368e-05,0.0126889990453
Ar,1s,8.62346290402e-05,0.0127696410994
Ar,1s,8.67828092285e-05,0.012850795401
Ar,1s,8.73344741133e-05,0.012932465199
Ar,1s,8.78896458464e-05,0.0130146537631
Ar,1s,8.84483467203e-05,0.0130973643834
Ar,1s,8.90105991692e-05,0.0131806003706
Ar,1s,8.95764257698e-05,0.0132643650567
Ar,1s,9.01458492426e-05,0.0133486617946
Ar,1s,9.07188924522e-05,0.0134334939582
Ar,1s,9.12955784088e-05,0.0135188649429
Ar,1s,9.18759302688e-05,0.0136047781654
Ar,1s,9.24599713357e-05,0.013691237064
Ar,1s,9.30477250613e-05,0.0137782450987
Ar,1s,9.36392150463e-05,0.0138658057513
Ar,1s,9.42344650416e-05,0.0139539225256
Ar,1s,9.48334989489e-05,0.0140425989474
Ar,1s,9.54363408221e-05,0.0141318385649
Ar,1s,9.60430148678e-05,0.0142216449485
Ar,1s,9.66535454465e-05,0.0143120216914
Ar,1s,9.72679570735e-05,0.0144029724091
Ar,1s,9.78862744202e-05,0.0144945007401
Ar,1s,9.85085223145e-05,0.0145866103457
Ar,1s,9.91347257424e-05,0.0146793049104
Ar,1s,9.97649098485e-05,0.0147725881419
Ar,1s,0.000100399099937,0.0148664637714
Ar,1s,0.000101037321475,0.0149609355534
Ar,1s,0.000101679600087,0.0150560072658
Ar,1s,0.000102325961566,0.015151682711
