atom,orbital,r_bohr,R
Ar,1s,1.52891849725e-05,148.09852913
Ar,1s,1.53863759547e-05,148.09852173
Ar,1s,1.5484184765e-05,148.098514236
Ar,1s,1.55826153306e-05,148.098506647
Ar,1s,1.56816716042e-05,148.09849896
Ar,1s,1.57813575632e-05,148.098491176
Ar,1s,1.58816772104e-05,148.098483292
Ar,1s,1.5982634574e-05,148.098475308
Ar,1s,1.6084233708e-05,148.098467222
Ar,1s,1.61864786919e-05,148.098459033
Ar,1s,1.62893736314e-05,148.09845074
Ar,1s,1.63929226581e-05,148.09844234
Ar,1s,1.64971299299e-05,148.098433834
Ar,1s,1.66019996312e-05,148.098425219
Ar,1s,1.6707535973e-05,148.098416494
Ar,1s,1.68137431929e-05,148.098407658
Ar,1s,1.69206255558e-05,148.09839871
Ar,1s,1.70281873532e-05,148.098389647
Ar,1s,1.71364329044e-05,148.098380469
Ar,1s,1.72453665557e-05,148.098371173
Ar,1s,1.73549926815e-05,148.09836176
Ar,1s,1.74653156835e-05,148.098352226
Ar,1s,1.75763399918e-05,148.09834257
Ar,1s,1.76880700644e-05,148.098332791
Ar,1s,1.78005103878e-05,148.098322888
Ar,1s,1.79136654769e-05,148.098312859
Ar,1s,1.80275398754e-05,148.098302701
Ar,1s,1.81421381559e-05,148.098292414
Ar,1s,1.82574649198e-05,148.098281996
Ar,1s,1.83735247982e-05,148.098271445
Ar,1s,1.84903224512e-05,148.098260759
Ar,1s,1.86078625689e-05,148.098249937
Ar,1s,1.87261498708e-05,148.098238978
Ar,1s,1.88451891069e-05,148.098227878
Ar,1s,1.89649850569e-05,148.098216637
Ar,1s,1.90855425313e-05,148.098205253
Ar,1s,1.92068663708e-05,148.098193723
Ar,1s,1.93289614472e-05,148.098182046
Ar,1s,1.94518326632e-05,148.098170221
Ar,1s,1.95754849524e-05,148.098158245
Ar,1s,1.96999232801e-05,148.098146116
Ar,1s,1.98251526429e-05,148.098133832
Ar,1s,1.99511780695e-05,148.098121392
Ar,1s,2.00780046201e-05,148.098108793
Ar,1s,2.02056373876e-05,148.098096033
Ar,1s,2.03340814967e-05,148.098083111
Ar,1s,2.04633421052e-05,148.098070024
Ar,1s,2.05934244034e-05,148.09805677
Ar,1s,2.07243336146e-05,148.098043348
Ar,1s,2.08560749954e-05,148.098029754
Ar,1s,2.09886538357e-05,148.098015986
Ar,1s,2.11220754593e-05,148.098002043
Ar,1s,2.12563452234e-05,148.097987923
Ar,1s,2.13914685196e-05,148.097973622
Ar,1s,2.15274507738e-05,148.097959139
Ar,1s,2.1664297446e-05,148.097944471
Ar,1s,2.18020140314e-05,148.097929617
Ar,1s,2.19406060598e-05,148.097914573
